task_id,cells
f_1835f85d1a3f9c4ef400,"[[5, 0], [5, 1], [5, 2], [6, 0], [6, 1], [6, 2]]"
f_219275d0929d66eb7a2b,"[[3, 0], [3, 1], [3, 2], [3, 4], [3, 5], [4, 0], [4, 1], [4, 2], [4, 4], [4, 5]]"
f_803822b169eb1aed0dd2,"[[2, 1], [2, 3], [2, 6], [3, 1], [3, 3], [3, 6]]"
f_8a32f3a8e5747b06e166,"[[1, 2], [1, 4], [2, 2], [2, 4]]"
f_21793b10ac10346d4df0,"[[1, 4], [1, 5], [1, 6], [2, 2], [2, 6]]"
f_f1fdc59f12a57d69da15,"[[2, 1], [2, 3], [3, 1], [3, 3]]"
f_888fdf74e79e12cc5a57,"[[1, 2], [1, 3], [2, 2], [2, 3]]"
f_a1892528ea499e69737a,"[[10, 0], [10, 1], [10, 3], [11, 0], [11, 1], [11, 3], [12, 0], [13, 0], [13, 1], [13, 3], [14, 0], [15, 0]]"
f_641f3410f4e52fa8c851,"[[2, 1], [3, 1], [4, 1], [5, 0], [5, 1], [5, 3], [6, 1]]"
f_37c17e519461401d3191,"[[11, 0], [12, 0], [13, 0], [13, 1], [13, 3], [13, 4], [13, 5], [14, 0], [14, 1]]"
f_79bfb44e88b5b4af4752,"[[1, 2], [1, 3], [1, 4], [2, 2], [2, 3], [2, 4]]"
f_de2af30cd20562d4be1c,"[[1, 1], [1, 2], [1, 3], [2, 1], [2, 2], [2, 3]]"
f_04a15eaf7f6c8f1933bd,"[[1, 0], [1, 1], [2, 0], [2, 1]]"
f_15547bcef35f0f3cd661,"[[8, 6], [9, 1], [9, 3], [9, 4], [9, 5], [9, 6], [10, 1], [10, 3], [10, 4], [10, 5], [10, 6], [11, 1], [11, 3], [11, 5], [11, 6]]"
f_13fcae342dd2b29fe448,"[[11, 0], [13, 0], [13, 1]]"
f_3c51f0d5b47973333be3,"[[2, 4], [3, 4], [4, 1], [4, 4], [5, 0], [5, 1], [5, 4], [6, 1], [6, 4]]"
f_2634915fceda3d3766ee,"[[13, 0], [13, 4], [14, 0], [14, 4]]"
f_c20d6fe585ffb36a4fbe,"[[1, 0], [1, 2], [1, 4], [2, 0], [2, 2], [2, 3], [3, 0], [3, 2], [3, 3], [4, 0], [4, 2], [4, 3], [5, 0], [5, 2], [5, 3], [6, 0], [6, 2], [6, 3]]"
f_04734c630d31f91ccd35,"[[1, 3], [1, 4], [2, 2], [2, 3], [2, 4]]"
f_18dec1586a0ab0653b03,"[[1, 0], [2, 0], [3, 0], [3, 1], [4, 0], [5, 0], [5, 1], [6, 0], [6, 1], [6, 4]]"
f_f9f162e85fda55cafd15,"[[5, 0], [6, 0], [6, 1], [6, 2], [6, 3], [6, 4]]"
f_42d68b9e32e5b2567287,"[[5, 0], [5, 2], [5, 4], [6, 0], [6, 2], [6, 3], [6, 4], [7, 0]]"
f_9485a023dc8cd450c332,"[[3, 0], [3, 1], [3, 3], [3, 4], [4, 0], [4, 1], [4, 3], [4, 4], [5, 0], [6, 0], [10, 0], [11, 0], [16, 0], [17, 0]]"
f_bf326e876506c8a450c4,"[[2, 2], [2, 4], [3, 2], [3, 3], [3, 4], [4, 2], [4, 3], [4, 4]]"
f_d78365f0d1e72e40f330,"[[1, 2], [6, 3]]"
f_01db4f2fb2fd162800e4,"[[11, 0], [12, 0], [13, 0], [14, 0], [14, 1]]"
f_4a75e93acd95fd37ef9f,"[[10, 0], [11, 0], [11, 2], [11, 3], [12, 0], [13, 0]]"
f_7ea58e5bbb2a6de59061,"[[3, 0], [3, 1], [3, 3], [4, 0], [7, 0], [7, 1], [7, 2], [7, 3]]"
f_888016fc9c1a22a61ac4,"[[1, 3], [2, 3]]"
f_9c4d010bb09ab1ac5f5d,"[[3, 0], [3, 1], [3, 2], [3, 4], [4, 0], [4, 1], [4, 2], [4, 4]]"
f_30afaf0c7204114f2888,"[[13, 0], [13, 2], [14, 0], [14, 1], [14, 2], [14, 4], [15, 0], [16, 0], [17, 0]]"
f_4794e2f9661df9c76749,"[[19, 1], [19, 2], [19, 3], [20, 2], [20, 3]]"
f_424b5bd38fa2ec4cd968,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2]]"
f_babedcb38ac053cb233e,"[[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [10, 1], [11, 0], [11, 1], [12, 0], [13, 0]]"
f_382dacb0875815e2cbb0,"[[3, 1], [3, 2], [3, 3], [3, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4], [6, 0], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5]]"
f_5eddfc3de9f429b5541e,"[[1, 0], [1, 1], [2, 0], [2, 1], [2, 2]]"
f_333d10050bb4c75f404c,"[[5, 0], [6, 0], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [7, 0], [8, 0], [9, 0], [10, 0]]"
f_fc2733fa13631d356a12,"[[1, 0], [1, 3], [2, 0], [2, 3], [15, 3]]"
f_343b733822ad72a42010,"[[5, 0], [6, 0], [6, 1], [6, 3], [6, 4], [7, 0]]"
f_f5905612b9d804f327cc,"[[2, 0], [2, 1], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [7, 1], [8, 0], [8, 9], [8, 10]]"
f_5d933fe2ae67f138784c,"[[3, 10], [4, 0], [4, 1], [4, 9], [4, 10], [5, 0], [5, 10]]"
f_7de2ecf5d34e2e820838,"[[1, 1], [1, 2], [1, 4], [2, 1], [2, 2]]"
f_f47e2ae564ce6ed3500b,"[[1, 0], [2, 0], [4, 2], [4, 3]]"
f_950a5a7031c96797b2e8,"[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 0], [3, 3]]"
f_3ba58764d14d1d999d81,"[[10, 0], [11, 0], [12, 0], [13, 0], [13, 1], [13, 2], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0]]"
f_b0f806d72f1f291622b1,"[[2, 1], [2, 2], [2, 3], [3, 1], [3, 3]]"
f_591b8b5141a600c3eee0,"[[1, 4], [2, 4], [3, 4], [4, 4], [9, 4]]"
f_e4a3e767335b57b8a845,"[[10, 0], [10, 1], [10, 3], [11, 0], [11, 1], [11, 3]]"
f_d158d4cd5c20536d4129,"[[15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [21, 2], [21, 8]]"
f_16e06761b95b77011ec2,"[[18, 2], [19, 0], [19, 2], [19, 3], [19, 4], [20, 0], [20, 2], [20, 3], [20, 4], [21, 0], [21, 2], [21, 3], [21, 4], [22, 0], [22, 2], [22, 3], [22, 4], [23, 2], [23, 3], [24, 2], [24, 3], [25, 2], [25, 3]]"
f_1c2a1285f23b706e9055,"[[2, 0], [2, 1], [2, 2], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [10, 1], [11, 0]]"
f_41c7e7c48189e8ce0cae,"[[2, 0], [2, 2], [3, 0], [3, 1], [3, 2], [4, 0]]"
f_443297530cbccc071e02,"[[18, 0], [18, 1], [18, 2], [18, 3]]"
f_b423b48b61a2b2090ba9,"[[1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [3, 0], [4, 0], [4, 1], [4, 2], [4, 3], [5, 0], [6, 0], [7, 0], [8, 0]]"
f_46d99c7cab7a2aee81d6,"[[9, 0], [9, 1], [9, 2]]"
f_57d60c4f6520b5eadbdc,"[[3, 2], [3, 4], [4, 2], [4, 4]]"
f_5417cddb38499a1b27a6,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [8, 0], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5]]"
f_5ab31e8167764ec5ab3d,"[[2, 7], [3, 0], [3, 1], [3, 7]]"
f_0ebef5e79d39616af7df,"[[1, 0], [1, 1], [1, 2], [1, 3], [4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2], [7, 0], [7, 1], [7, 2], [9, 0], [9, 1], [9, 2], [9, 3]]"
f_4082cff5fdefbf2963b1,"[[7, 1], [7, 2], [9, 1], [9, 2], [10, 1], [10, 2], [11, 1], [11, 2], [12, 1], [12, 2], [13, 1], [13, 2], [14, 1], [14, 2], [15, 1], [15, 2], [16, 1], [16, 2], [17, 1], [17, 2], [18, 1], [18, 2], [19, 1], [19, 2], [20, 1], [20, 2], [21, 1], [21, 2], [22, 4], [22, 5], [22, 6], [22, 7]]"
f_2cf05fd264aed43f66a6,"[[1, 0], [1, 2], [1, 3], [3, 0], [3, 3]]"
f_ae9c33a7b86670157074,"[[2, 0], [2, 1], [2, 2], [4, 0], [4, 1], [4, 2]]"
f_21408c04985c581c50a9,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [12, 2]]"
f_575f10f7f28cb4bc6a05,"[[2, 2], [2, 3], [3, 2], [3, 3]]"
f_4aa79aa6b9d63b1e94ad,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [4, 0]]"
f_2aed70ea7f2089a44f4a,"[[3, 0], [4, 0], [5, 0], [5, 1], [6, 0], [7, 0], [8, 0], [8, 1], [9, 0], [10, 0], [11, 0], [11, 1], [12, 0], [13, 0]]"
f_db60a2afc91e9cfb5833,"[[9, 4], [10, 4], [11, 0], [11, 1], [11, 2], [11, 3], [11, 4], [12, 4]]"
f_bd1263e757c4a1f1f179,"[[2, 1], [2, 3], [2, 5], [8, 1], [8, 3], [8, 5]]"
f_d7bb7e71bb382bb644e7,"[[1, 0], [1, 3], [4, 0], [4, 2]]"
f_2f27e45efc44a0c65156,"[[1, 0], [1, 1], [2, 0], [2, 1], [2, 2], [2, 3]]"
f_225fc51bcdad02316220,"[[1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2]]"
f_958331255e2ea832a224,"[[7, 0], [7, 1], [7, 2], [7, 3], [8, 0], [8, 1], [8, 2], [8, 3], [9, 2]]"
f_059be1cb3dee7e7c79b4,"[[1, 0], [1, 3], [1, 5], [1, 6], [2, 0], [2, 3]]"
f_ebea7f994d3b927a13f4,"[[1, 0], [1, 4], [4, 0], [4, 4]]"
f_8067cf80a21e35471eda,"[[2, 1], [5, 1], [8, 1]]"
f_df8b2ee91cd8b44b00b5,"[[8, 0], [8, 1], [8, 2], [8, 3], [8, 4], [10, 0], [10, 1], [10, 2], [10, 3], [10, 4]]"
f_581a68104dc9b59b81b0,"[[2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1]]"
f_1bdfaaf3e82808c3f692,"[[3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [5, 1], [5, 2], [6, 1], [6, 2]]"
f_4afedaf351a4c927e45b,"[[19, 0], [19, 2], [24, 0], [24, 1]]"
f_71dcf4c5b6ab5be0ba1b,"[[1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4]]"
f_0fe5e3bd6dc180df3341,"[[2, 0], [3, 0], [3, 1]]"
f_8044d0d9a3899ea7c365,"[[2, 1], [2, 2], [2, 5], [2, 6], [3, 5], [3, 6]]"
f_887cc502e9e1fa934be9,"[[2, 0], [2, 1], [2, 4], [2, 5], [3, 0], [3, 1], [3, 5], [4, 0], [4, 1], [4, 4], [4, 5], [5, 0], [5, 1], [5, 5]]"
f_cbc78159d71a31c4b22e,"[[1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3]]"
f_b16a0328fd1ef8264a21,"[[1, 0], [1, 1], [1, 2], [2, 1], [2, 2]]"
f_d6edeb2466febc34b7bf,"[[1, 0], [1, 1], [1, 4], [2, 4]]"
f_0b20f5f59bf4612a1935,"[[2, 0], [3, 0], [3, 1], [3, 2]]"
f_5406bbc35d39bf294080,"[[2, 0], [2, 2], [3, 0], [3, 1], [3, 2], [4, 0], [4, 2], [5, 0], [5, 2], [6, 0], [6, 2]]"
f_7a64cd08e9522ef7be56,"[[3, 1], [3, 10], [3, 11], [4, 1], [4, 9], [4, 10]]"
f_3e9c9579693edf8085d5,"[[1, 3], [1, 4], [1, 5], [2, 1], [2, 3], [2, 4], [2, 5]]"
f_f283acb759438115ba54,"[[9, 0], [9, 1], [9, 3], [9, 4], [10, 0], [10, 1], [10, 3], [10, 4], [20, 0], [20, 1], [20, 3], [20, 4]]"
f_97041350913591a381c3,"[[2, 0], [2, 3], [3, 0], [3, 3]]"
f_b9a528e78bcfe1b805a0,"[[24, 0], [25, 0], [26, 0], [26, 1], [26, 3], [26, 4]]"
f_02b745156229eb12ab97,"[[1, 2], [1, 3], [1, 4], [2, 2], [2, 3], [2, 4]]"
f_234da7b73e6368f9374d,"[[2, 0], [2, 1], [6, 0], [6, 1], [6, 2]]"
f_e8287d8409b9cdddbccd,"[[7, 2], [10, 0], [10, 1], [10, 2], [11, 0], [11, 1], [11, 2], [12, 0], [13, 0], [14, 0]]"
f_e19f03d0afc06a473c64,"[[1, 2], [2, 0], [2, 1], [2, 2], [3, 2]]"
f_6b1b0429ab66a6fe8976,"[[4, 0], [4, 2], [4, 3], [4, 4], [8, 0], [8, 2], [8, 3], [8, 4]]"
f_89a9bf7dc908fc814d65,"[[1, 0], [1, 3], [2, 0], [2, 3], [3, 0], [3, 3], [4, 0], [4, 3], [5, 0], [5, 3], [6, 0], [6, 3], [7, 0], [7, 3], [11, 3]]"
f_acf8c561fcb66ec5dbcd,"[[16, 0], [17, 0], [18, 0], [18, 1], [18, 2], [18, 3]]"
f_951e68b71a0afc1247d5,"[[2, 0], [3, 0], [4, 11], [4, 12], [4, 13]]"
f_6513674cf9b9c2a3a89d,"[[13, 0], [13, 1], [13, 2], [13, 7], [13, 8], [14, 0], [14, 1], [14, 2], [14, 7], [15, 0]]"
f_469bc2d6f7bc688051f7,"[[1, 1], [2, 1], [3, 1]]"
f_8a70ad5be75da835ca2f,"[[17, 1], [18, 1], [19, 1], [20, 1], [20, 2]]"
f_a6eced75d74fc384b4be,"[[22, 0], [23, 4], [23, 5], [23, 6]]"
f_2c2cdd9e3d0485e63176,"[[7, 1], [7, 2], [8, 1], [8, 2], [9, 1], [9, 2], [10, 1], [10, 2], [11, 1], [11, 2], [12, 1], [12, 2], [13, 1], [13, 2], [14, 1], [14, 2], [15, 1], [15, 2], [17, 1], [17, 2], [18, 1], [18, 2], [19, 1], [19, 2], [20, 1], [20, 2], [21, 1], [21, 2], [22, 1], [22, 2], [23, 1], [23, 2], [24, 4]]"
f_ba4a9b41bd341eda1b8a,"[[4, 0], [4, 2], [4, 4], [4, 5], [4, 6]]"
f_d6641f9016c9b4485f49,"[[1, 0], [1, 1], [1, 3], [6, 0], [6, 1], [6, 2], [6, 3]]"
f_babeccd9011e7955a6de,"[[1, 1], [1, 2], [2, 1], [2, 2], [13, 3]]"
f_14e03a5e7b248f09dafc,"[[8, 0], [8, 1], [8, 2], [13, 0], [13, 1], [13, 2]]"
f_9360a16d78bdeef993d9,"[[5, 0], [5, 2], [5, 3]]"
f_2a6641b6f47b92ed61e8,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [13, 0], [13, 1], [13, 2], [13, 3], [13, 4], [13, 5], [15, 0], [15, 1], [15, 2], [15, 3], [15, 4], [15, 5], [24, 0], [24, 1], [24, 2]]"
f_c5576c076666e65fe406,"[[1, 1], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2], [5, 0], [5, 1], [5, 2]]"
f_abd22c1d68739ef5f861,"[[3, 0], [3, 2]]"
f_d2460ae05a9f16932659,"[[1, 1], [2, 1], [2, 2], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [4, 4]]"
f_04e172ca999a30abc96c,"[[1, 1], [1, 2], [1, 4], [2, 1], [2, 2]]"
f_fbeb8a938d9eb4083c82,"[[10, 0], [10, 1], [10, 2], [10, 3], [10, 4], [10, 5], [21, 2]]"
f_b959d1de85a8d6b1ffaa,"[[2, 0], [2, 1], [2, 4], [3, 0], [3, 1], [3, 4], [4, 2]]"
f_3b077b5ca9dff1a5e511,"[[1, 0], [1, 3], [6, 3]]"
f_4eb946cf144aea99000c,"[[20, 0], [20, 1], [20, 2], [20, 3], [20, 4], [20, 5], [20, 6], [21, 2], [21, 4], [21, 6], [22, 4], [22, 6]]"
f_8cac79a2b7e499172ec2,"[[1, 0], [1, 1], [1, 2], [5, 0], [5, 1], [5, 2]]"
f_df637e7fa0aad4bd11dc,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [20, 4], [20, 5], [21, 4], [21, 5]]"
f_aac7df1483c1a91ff6dc,"[[1, 0], [2, 0], [3, 0], [3, 1], [3, 2]]"
f_95f8b6c33f04f4dc466f,"[[3, 1], [3, 2], [3, 4], [4, 1], [4, 2], [4, 3], [4, 4], [5, 1], [6, 1]]"
f_922a18f06dcc320b6d64,"[[7, 0], [7, 3], [8, 0], [8, 1], [8, 3], [9, 0], [9, 1], [9, 2], [9, 3], [9, 4]]"
f_1cde0f42de30dc1142ed,"[[1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [14, 0], [14, 1], [14, 2]]"
f_31ce44610b99b1d054d9,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [7, 0], [7, 2], [7, 3]]"
f_62676b0b96b979d43bbe,"[[2, 1], [2, 4], [3, 1], [3, 4]]"
f_50195e635768321f8f60,"[[20, 1]]"
f_1d8250e6fe7d1c5f1346,"[[4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2]]"
f_ddb00b221a707d5ec666,"[[1, 0], [1, 1], [1, 3], [2, 1], [2, 3], [3, 1], [3, 3], [4, 1], [4, 3], [5, 1], [5, 3]]"
f_ba7962e9db0a97677891,"[[0, 0], [0, 1], [0, 2], [5, 0], [5, 2], [8, 2], [10, 0], [10, 1], [10, 2]]"
f_fddc0edf2bf1d85928d2,"[[9, 0], [9, 1], [9, 2], [10, 0], [10, 1], [10, 2], [11, 0], [11, 1], [11, 2], [12, 0], [12, 1], [12, 2]]"
f_360e9275baa85a842bdf,"[[4, 0], [4, 1], [4, 3], [5, 0], [6, 0], [6, 1], [6, 3]]"
f_d85a3cfa91cac607ac68,"[[1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3]]"
f_5b38666eef7682c5be91,"[[2, 0], [3, 0], [3, 1], [3, 2], [3, 3]]"
f_8245b56af9981a617ba5,"[[1, 2], [9, 0], [9, 1], [9, 2], [9, 4]]"
f_8179cecce3f6ae9500c4,"[[3, 0], [3, 1], [3, 4]]"
f_48cfc28da80087d958cf,"[[10, 1], [10, 2], [10, 4]]"
f_08742ee70bfe367e16b9,"[[4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2]]"
f_10d3c834b58d65582229,"[[1, 1], [1, 2], [3, 3]]"
f_aef4135d9bc11a7cb2e2,"[[10, 0], [11, 0], [12, 0], [12, 4], [12, 5]]"
f_298bd42ad9b891462dab,"[[17, 1], [18, 1], [19, 1], [19, 2], [20, 1]]"
f_7fcf3d13beef456bd568,"[[1, 0], [1, 1], [1, 3], [1, 4], [2, 0], [2, 3], [2, 4], [3, 0], [3, 1], [3, 3], [3, 4], [3, 5], [4, 0], [4, 3]]"
f_d69002c060402a6417c9,"[[18, 0], [18, 1], [19, 0], [19, 1], [20, 0], [20, 1], [21, 0], [21, 1], [21, 2], [21, 3], [21, 4], [21, 5], [22, 0], [22, 1], [22, 2], [22, 3], [22, 4], [23, 0], [23, 1]]"
f_84623891e7128f6bd50f,"[[1, 0], [1, 1], [2, 0], [2, 1]]"
f_bb4f5a1c918de3fbbad4,"[[5, 0], [5, 1], [5, 2], [6, 0], [7, 0], [7, 1], [7, 2]]"
f_e983c0547d2e3bd660e5,"[[3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [4, 3], [4, 4], [5, 0], [5, 2], [6, 0]]"
f_8d0c702aa95d78458a77,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0]]"
f_3b477273a721f15e1caa,"[[3, 1], [3, 6], [10, 1], [10, 6]]"
f_678d872932cc434fd49d,"[[1, 1], [1, 2], [1, 3], [1, 4], [2, 1], [2, 4]]"
f_60285623a3164392d80e,"[[24, 0], [25, 0], [25, 2], [25, 5]]"
f_e80c750e812a5d4a8262,"[[1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2]]"
f_660cb5e511751cf6c143,"[[6, 0], [6, 1], [6, 2], [8, 0], [8, 1], [9, 0], [9, 1], [10, 0], [10, 1], [11, 0], [11, 1]]"
f_d7cbe461ea92257934dd,"[[0, 0], [0, 1], [0, 2], [0, 3], [4, 0], [4, 1], [4, 2], [4, 3], [5, 0], [5, 1]]"
f_a9ead50167389b8da673,"[[2, 2], [2, 4], [3, 2], [3, 4], [4, 2], [4, 4], [5, 2], [5, 4]]"
f_75b6b2a6adda5c26aee1,"[[15, 0], [15, 1], [15, 2], [15, 3], [16, 2], [17, 2], [18, 2], [19, 2], [20, 2], [21, 2], [22, 2], [24, 2], [25, 2], [26, 0], [26, 1], [26, 2], [26, 3]]"
f_fefbd61f7eba7146e6f7,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2]]"
f_27f4cfc8c6116c2047c0,"[[5, 0]]"
f_b7a9e819498d27f1f2d5,"[[12, 0], [13, 0], [13, 1], [13, 2]]"
f_fde5739e0ce8355e4f15,"[[1, 0], [1, 1], [1, 2]]"
f_a913657fb1adee3984c5,"[[7, 0], [7, 4], [8, 0], [8, 4], [9, 0], [9, 4]]"
f_6318aa8b8485d1fb2b10,"[[5, 2], [6, 2], [7, 2], [8, 0], [8, 2]]"
f_4c5e9246fc040481c216,"[[3, 0], [3, 1], [3, 3], [12, 3]]"
f_8fe81c41df3af7b1b9a6,"[[7, 0], [7, 4], [9, 0], [9, 4]]"
f_0c80a65bdf54602bc979,"[[16, 0], [16, 1], [16, 2], [16, 3], [16, 4], [17, 0], [17, 1], [17, 2], [17, 3], [17, 4], [18, 0], [18, 1], [18, 2]]"
f_0cd54d436330ce1b7190,"[[9, 0], [9, 2], [10, 0], [10, 1], [10, 2], [10, 3], [10, 4]]"
f_36f6e338d839817817f5,"[[0, 0], [0, 2], [5, 0], [5, 1], [5, 2]]"
f_c89917e9e15946f07b5e,"[[22, 2], [23, 2]]"
f_ee5fed80922216351215,"[[1, 2], [1, 4], [2, 2], [2, 4]]"
f_438eecf11af5914ca19a,"[[7, 1], [7, 3], [9, 0], [9, 1], [9, 2], [9, 3]]"
f_0cb6e2946fce0633a37f,"[[4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2], [6, 0], [6, 1], [6, 2], [7, 0], [7, 1], [7, 2]]"
f_47c26e782b746acad27d,"[[2, 0], [2, 1], [2, 3], [2, 4], [3, 0], [3, 1], [3, 3], [3, 4], [4, 0], [4, 1]]"
f_9dcaed84c90e8d8cbf9d,"[[1, 0], [1, 1], [1, 3], [1, 5], [1, 6]]"
f_4981401060a67319d0e3,"[[11, 0], [11, 1], [11, 2], [12, 0], [12, 1], [12, 2], [13, 0], [13, 1], [13, 2]]"
f_fde19002de6426affe1f,"[[4, 2], [5, 0], [5, 1], [5, 2], [5, 3], [6, 0], [7, 0], [8, 0]]"
f_18f040819cd932e8598f,"[[1, 0], [1, 1], [1, 4], [2, 0], [2, 1], [2, 4], [3, 0], [3, 1], [3, 4], [4, 0], [4, 1], [4, 2], [4, 4], [5, 0], [5, 1], [5, 4], [6, 0], [6, 1], [6, 4], [7, 0], [7, 1], [7, 4], [8, 0], [8, 1], [8, 4], [9, 0], [9, 1], [9, 4]]"
f_9ae04a209ff8bed4f63d,"[[1, 1], [1, 2], [1, 3], [2, 1], [2, 2], [2, 3]]"
f_bda8689188ce0dcf8216,"[[1, 2], [1, 4], [2, 2], [2, 4]]"
f_e3028cbdcb45967c0928,"[[1, 2], [2, 1], [2, 2], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4]]"
f_11326b3cf406d29a56e3,"[[1, 1], [2, 1], [2, 2]]"
f_42a9378c766590fafd60,"[[7, 0], [7, 1], [7, 2]]"
f_ac3c1f4c893afd0497e5,"[[14, 1], [14, 2], [14, 3], [15, 1], [15, 2], [15, 3], [16, 3]]"
f_5d2d8e17dfc0ad8562a9,"[[1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 0]]"
f_1af4c790c2edadf5bc28,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [4, 0], [4, 1], [5, 0], [5, 1], [6, 0], [6, 1], [6, 2], [6, 3], [6, 4], [7, 0]]"
f_f32307d93d0ddcfa45f2,"[[3, 1], [3, 2], [7, 1], [7, 2], [7, 5]]"
f_ef2afc982817ecbfab81,"[[6, 1], [6, 5], [7, 0], [7, 1], [7, 5], [8, 1], [8, 5], [9, 1], [9, 5], [10, 1], [11, 1], [12, 1], [13, 1]]"
f_53475c75f6245035ce94,"[[1, 2], [1, 4], [2, 2], [2, 4]]"
f_0be074af36ca21c23d96,"[[6, 0], [6, 1], [6, 2], [6, 3], [7, 0], [7, 1], [7, 2], [7, 3]]"
f_561d6d5df011fe943b02,"[[0, 0], [0, 1], [0, 2], [2, 0]]"
f_3fb52d64732e6bee4fda,"[[2, 0], [2, 4], [3, 0], [3, 4]]"
f_ad3816a8b41b1065d0a7,"[[5, 1], [5, 2], [5, 4], [6, 1], [6, 2], [6, 4]]"
f_d4d07b32afff2fec50f8,"[[1, 0], [1, 1], [1, 4], [2, 0], [2, 1], [2, 4], [3, 0], [3, 1], [3, 4]]"
f_1c09d148c7fbf47063f5,"[[12, 0], [12, 1], [12, 3], [12, 4], [13, 0], [13, 1], [13, 3], [13, 4]]"
f_9518f75965225a231cd1,"[[1, 3], [2, 3]]"
f_db928451e3297e9851c8,"[[2, 2], [2, 5], [3, 2], [3, 5]]"
f_e83202c6db0778006d67,"[[13, 0], [13, 1], [13, 2]]"
f_62db7fc13ac18373e075,"[[1, 0], [1, 3], [2, 0], [2, 3], [3, 0], [3, 3], [6, 0], [6, 3]]"
f_29f6ab9232c1cbdd4661,"[[8, 0], [9, 0], [10, 0], [10, 1], [10, 2], [10, 3], [11, 0], [12, 0]]"
f_c3d34d9c81a11d0caf73,"[[2, 0], [3, 0], [3, 2], [3, 3], [4, 0]]"
f_6d6fe764c8869efb6ff8,"[[1, 0], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 3], [4, 0], [4, 3]]"
f_282845b420edb138c2b4,"[[1, 2], [2, 1], [2, 2]]"
f_6751a1fac786448c9a57,"[[9, 1], [10, 1], [11, 1], [12, 1], [13, 1], [14, 1], [15, 1], [16, 1], [17, 6], [17, 7]]"
f_0f8f4463fd321c1d4a83,"[[2, 1], [2, 2], [2, 3], [2, 4], [6, 1], [6, 2], [6, 3], [6, 4]]"
f_454083cfa8a4aa07c9c8,"[[6, 3], [6, 4], [6, 5], [6, 6], [14, 3], [14, 4], [14, 5], [14, 6]]"
f_1aa4702143ec18f5be09,"[[2, 0], [2, 2], [2, 3], [2, 8], [8, 0], [8, 2], [8, 3], [8, 8]]"
f_6cdcdb34be1e07cd1438,"[[2, 0], [4, 0]]"
f_970063be9533a4240a0f,"[[1, 2], [5, 2]]"
f_2c7040b8700ba0805b5b,"[[2, 0], [2, 1], [17, 0], [17, 1], [21, 0], [21, 1], [28, 0], [28, 1], [30, 2]]"
